,ano,mes,worm,dos,invasao,web,scan,fraude,outros
0,1999,jan,89,5,7,14,22,67,0
1,1999,fev,75,5,1,6,31,54,0
2,1999,mar,100,7,5,12,19,60,0
3,1999,abr,60,8,0,2,0,81,0
4,1999,mai,68,10,1,7,2,57,0
5,1999,jun,76,17,2,9,8,79,1
6,1999,jul,46,26,0,10,14,110,2
7,1999,ago,74,167,0,35,8,100,1
8,1999,set,97,85,1,3,4,74,0
9,1999,out,86,34,1,7,7,134,0
10,1999,nov,55,148,1,14,18,182,0
11,1999,dez,19,146,2,9,50,270,0
12,2000,jan,28,108,11,3,57,217,0
13,2000,fev,61,78,8,11,80,270,1
14,2000,mar,55,117,14,8,38,309,0
15,2000,abr,19,93,17,5,22,194,1
16,2000,mai,12,145,15,11,28,267,2
17,2000,jun,7,215,8,17,20,374,0
18,2000,jul,2,80,13,17,22,450,1
19,2000,ago,2,112,6,13,16,280,3
20,2000,set,3,90,6,15,12,209,2
21,2000,out,0,139,4,7,17,301,0
22,2000,nov,2,167,34,13,57,295,5
23,2000,dez,9,196,23,7,46,372,3
24,2001,jan,5,206,11,17,29,619,9
25,2001,fev,2,164,6,18,48,799,3
26,2001,mar,0,114,9,19,39,1019,2
27,2001,abr,2,88,9,21,77,1243,4
28,2001,mai,0,89,8,15,66,1151,3
29,2001,jun,0,40,4,18,55,991,1
30,2001,jul,0,23,6,10,66,753,1
31,2001,ago,1,9,4,10,19,592,4
32,2001,set,0,4,5,2,10,644,4
33,2001,out,0,17,11,7,12,950,5
34,2001,nov,0,18,3,4,13,1130,3
35,2001,dez,0,8,4,2,14,906,4
36,2002,jan,268,63,4,10,33,1072,3
37,2002,fev,170,86,2,14,15,898,1
38,2002,mar,164,106,0,10,11,960,3
39,2002,abr,204,78,1,10,26,855,7
40,2002,mai,408,66,1,6,15,758,13
41,2002,jun,374,90,3,12,8,918,2
42,2002,jul,808,108,14,25,20,920,5
43,2002,ago,731,92,6,7,27,846,7
44,2002,set,836,104,5,16,20,964,19
45,2002,out,2646,168,7,10,23,907,22
46,2002,nov,3491,97,5,8,18,806,11
47,2002,dez,2295,101,14,12,25,1092,6
48,2003,jan,2275,72,3,9,66,1162,16
49,2003,fev,1717,60,3,14,42,1084,28
50,2003,mar,1919,81,4,8,26,1206,11
51,2003,abr,2463,66,6,7,31,1088,28
52,2003,mai,1834,62,17,7,52,1378,43
53,2003,jun,1469,168,1,12,39,1627,16
54,2003,jul,1386,81,1,11,52,2052,39
55,2003,ago,2359,181,1,8,39,2316,42
56,2003,set,3529,38,2,7,40,2321,50
57,2003,out,4569,33,6,9,46,1955,43
58,2003,nov,4495,60,4,11,50,1441,74
59,2003,dez,5400,25,2,17,33,1356,203
60,2004,jan,3013,39,6,9,55,2481,283
61,2004,fev,2306,53,4,13,22,3542,170
62,2004,mar,2653,37,19,56,32,2862,343
63,2004,abr,2496,36,2,14,81,1946,188
64,2004,mai,2260,38,2,19,58,2913,181
65,2004,jun,3752,24,3,6,26,2498,193
66,2004,jul,4636,18,2,7,49,1791,270
67,2004,ago,3221,26,5,22,71,2194,371
68,2004,set,2997,56,4,13,52,1704,341
69,2004,out,8821,23,51,13,29,1937,379
70,2004,nov,4599,10,1,40,39,1888,572
71,2004,dez,1513,46,5,36,10,2402,724
72,2005,jan,1019,16,0,14,22,2694,683
73,2005,fev,1157,5,1,27,57,1433,462
74,2005,mar,1906,1,2,42,24,1805,1068
75,2005,abr,1432,17,0,20,25,1437,2322
76,2005,mai,2175,4,2,34,22,1489,3157
77,2005,jun,1510,0,5,17,55,1356,2463
78,2005,jul,1329,3,2,15,22,1045,2730
79,2005,ago,1144,7,5,45,41,1522,2954
80,2005,set,1075,2,2,87,64,1527,2604
81,2005,out,1220,4,13,66,62,2185,2766
82,2005,nov,1484,4,45,43,122,3022,3181
83,2005,dez,1881,2,19,38,54,2682,2902
84,2006,jan,1358,71,24,32,3274,3687,NaN
85,2006,fev,1223,33,59,54,2737,3636,NaN
86,2006,mar,4062,41,112,29,2925,4776,NaN
87,2006,abr,7327,3,61,28,2742,3965,NaN
88,2006,mai,11139,81,24,29,3153,3778,NaN
89,2006,jun,11036,24,44,43,3127,3196,NaN
90,2006,jul,12833,11,57,46,2823,2984,NaN
91,2006,ago,8961,4,44,37,5160,3295,NaN
92,2006,set,13499,4,26,38,5507,4247,NaN
93,2006,out,8944,3,21,35,6823,2766,NaN
94,2006,nov,16355,0,43,51,3777,3188,NaN
95,2006,dez,12939,2,8,27,3143,2258,NaN
96,2007,jan,18109,0,8,21,3132,2911,NaN
97,2007,fev,9302,0,4,19,3907,2250,NaN
98,2007,mar,9124,1,3,125,4850,2530,NaN
99,2007,abr,6416,11,6,147,4584,2988,NaN
100,2007,mai,5776,179,5,139,3107,4417,NaN
101,2007,jun,4621,8,15,121,2092,3881,NaN
102,2007,jul,4349,2,18,88,1779,4622,NaN
103,2007,ago,4831,0,2,114,1831,4659,NaN
104,2007,set,4620,480,33,152,2227,4394,NaN
105,2007,out,3535,260,110,192,2648,6899,NaN
106,2007,nov,3674,0,43,200,2188,3047,NaN
107,2007,dez,3116,13,11,371,2063,2700,NaN
108,2008,jan,3164,73,13,343,2431,4266,51
109,2008,fev,2200,2,4,258,2309,3205,18
110,2008,mar,2579,4,25,420,3661,4881,16
111,2008,abr,1883,3,5,329,3304,8785,24
112,2008,mai,2760,7,133,624,3716,7274,53
113,2008,jun,2690,1,27,332,4286,8150,75
114,2008,jul,1806,2,20,232,4041,7463,171
115,2008,ago,1859,0,19,530,3383,5505,192
116,2008,set,1619,5,36,262,3986,2593,185
117,2008,out,1496,0,13,238,3701,7119,85
118,2008,nov,2288,0,20,237,4062,22891,101
119,2008,dez,8616,3,12,396,4942,57935,80
120,2009,jan,26748,0,13,364,3859,74909,52
121,2009,fev,3524,3,5,457,3398,66214,282
122,2009,mar,773,3,12,342,4392,32440,284
123,2009,abr,468,682,20,579,4014,19228,505
124,2009,mai,1212,2,27,431,3087,38790,270
125,2009,jun,1821,1,4,464,6160,2023,319
126,2009,jul,2073,191,5,565,4104,2421,472
127,2009,ago,2233,2,4,458,3825,2997,264
128,2009,set,1706,1,7,474,4876,2392,354
129,2009,out,1483,0,7,336,6081,2988,447
130,2009,nov,1674,10,5,560,4368,3143,423
131,2009,dez,1384,1,2,562,3950,2817,497
132,2010,jan,1467,5,1,402,3042,2545,761
133,2010,fev,2170,5,5,470,2920,2313,383
134,2010,mar,2236,0,1,780,4573,3529,717
135,2010,abr,2127,0,3,522,5463,2829,518
136,2010,mai,1310,3,7,653,5027,2359,321
137,2010,jun,1324,2,2,706,6533,2872,241
138,2010,jul,1150,0,22,986,7718,2440,345
139,2010,ago,1213,4,5,928,9186,2596,239
140,2010,set,904,0,11,734,8882,2413,233
141,2010,out,1555,1,18,835,8521,1968,180
142,2010,nov,991,157,9,825,10072,2257,240
143,2010,dez,1181,21,5,871,8832,2887,262
144,2011,jan,1041,9,6,996,8343,3098,3347
145,2011,fev,865,9,8,784,8234,3457,12932
146,2011,mar,1207,13,25,1005,8820,3814,32746
147,2011,abr,1157,10,12,901,7269,3891,31668
148,2011,mai,1038,2,5,1091,6628,3307,30644
149,2011,jun,933,2,2,1183,7950,2544,26844
150,2011,jul,1236,11,11,2697,8523,3307,26477
151,2011,ago,2161,170,10,1757,13265,3451,12395
152,2011,set,3518,31,10,1446,11698,3300,5406
153,2011,out,3903,3,5,856,14868,3238,5093
154,2011,nov,3624,3,6,1243,14053,3819,4500
155,2011,dez,6214,9,6,1532,10104,3155,4561
156,2012,jan,6830,7,603,2137,8478,4096,4997
157,2012,fev,4404,34,452,2211,8523,4183,5459
158,2012,mar,2380,22,559,3508,10616,5126,12585
159,2012,abr,3171,9,100,2111,9557,7923,12471
160,2012,mai,3242,11,413,3532,13339,8557,11871
161,2012,jun,2702,9,619,3124,16646,5653,9053
162,2012,jul,2922,17,1320,2899,20638,6580,7728
163,2012,ago,2867,40,659,1717,41741,5582,7412
164,2012,set,3157,9,1043,1359,35571,5730,6632
165,2012,out,3380,9,754,1186,23229,6442,4326
166,2012,nov,1858,125,716,1116,28065,5268,3603
167,2012,dez,1553,17,577,657,16095,4421,5686
168,2013,jan,2217,15,2149,1305,18954,6247,5180
169,2013,fev,1523,6,1206,1364,12664,5573,4135
170,2013,mar,1771,6,1686,1113,13913,5259,4342
171,2013,abr,2084,14,1511,1479,13465,6615,4775
172,2013,mai,1638,6,972,1349,10378,5338,3728
173,2013,jun,2580,15,592,2177,15664,5061,3624
174,2013,jul,2932,123,509,1710,13769,7530,4301
175,2013,ago,2090,24,542,1942,12336,8145,3452
176,2013,set,2365,86,419,1573,15911,8538,2590
177,2013,out,2847,34,741,1066,13231,8239,2684
178,2013,nov,2843,28,363,2247,13263,8876,2593
179,2013,dez,3089,673,517,1396,11848,10254,1513
180,2014,jan,2853,6539,590,1267,13916,7248,1546
181,2014,fev,4163,6190,764,1434,19862,9616,1198
182,2014,mar,9238,2829,780,1253,22471,7780,1457
183,2014,abr,3513,1505,1559,1900,23320,8562,1174
184,2014,mai,2857,8383,293,1997,20756,12962,1317
185,2014,jun,2274,10345,612,2171,17477,20149,1029
186,2014,jul,3294,10218,210,2225,20292,21265,1158
187,2014,ago,3327,38822,187,1828,21500,67480,1012
188,2014,set,3312,56184,290,2347,21498,130108,1215
189,2014,out,2563,50195,296,3029,23763,125060,1242
190,2014,nov,2571,29566,201,3416,28053,42420,992
191,2014,dez,2226,3159,727,5941,30751,14971,968
192,2015,jan,2829,1367,409,6547,36445,18465,1599
193,2015,fev,2682,2056,289,8102,39267,12513,1791
194,2015,mar,2867,70,489,8822,32351,6338,2022
195,2015,abr,3046,34,150,6297,31215,10571,1678
196,2015,mai,3122,374,177,5399,23242,23890,2118
197,2015,jun,3423,1016,157,9219,29593,36327,1509
198,2015,jul,4141,2763,160,4716,32601,6561,2133
199,2015,ago,3683,3354,104,4447,33446,18701,1751
200,2015,set,4326,2511,119,3993,29759,16560,2043
201,2015,out,6301,1702,140,4315,32554,6089,1125
202,2015,nov,5912,9142,145,2297,38482,6595,1630
203,2015,dez,5390,971,118,1493,32268,6165,1622
204,2016,jan,4994,942,272,2266,32959,11846,1502
205,2016,fev,4176,137,95,1422,40911,8783,1517
206,2016,mar,3886,12851,106,4526,58962,10573,1948
207,2016,abr,1170,6147,126,1637,22531,11681,1060
208,2016,mai,3186,338,125,2361,27496,14456,1266
209,2016,jun,2041,823,126,1554,41210,12646,866
210,2016,jul,1766,1676,116,1804,25763,6252,1025
211,2016,ago,1927,260,137,10802,27970,7402,1098
212,2016,set,1583,9171,145,6027,21596,6082,868
213,2016,out,1293,410,86,5050,23257,4182,1094
214,2016,nov,1018,15735,320,7758,25858,5277,1379
215,2016,dez,1208,11942,41,10234,35390,3538,1052
216,2017,jan,1119,154,62,12169,44475,5424,758
217,2017,fev,1469,76,35,4362,16809,3815,526
218,2017,mar,1391,19,23,6281,41423,4587,581
219,2017,abr,2086,29,18,7782,35530,5310,256
220,2017,mai,2100,8,50,6232,32858,6027,341
221,2017,jun,3949,237,14,8320,30959,5733,307
222,2017,jul,4973,207780,1,4131,34364,5559,810
223,2017,ago,4110,11314,23,3037,28592,6513,446
224,2017,set,7264,254,24,1465,35474,3308,151
225,2017,out,7350,184,13,1691,60890,3690,298
226,2017,nov,5253,120,39,3245,51466,3316,207
227,2017,dez,4037,13,99,2051,30418,6037,61
228,2018,jan,6227,47,83,4120,34276,1890,204
229,2018,fev,1969,40575,96,2177,28254,2337,200
230,2018,mar,2373,10677,38,2116,27890,3681,210
231,2018,abr,2531,42,193,2479,47075,5988,74
232,2018,mai,2967,2115,168,2186,31428,2661,116
233,2018,jun,5146,7442,127,1851,19949,2883,164
234,2018,jul,2955,6876,103,4769,50753,3319,90
235,2018,ago,952,51524,55,5787,23509,3414,30
236,2018,set,2831,13940,34,2181,30871,3726,96
237,2018,out,4576,16045,47,3519,35628,3169,65
238,2018,nov,2896,3701,120,6467,32245,2206,96
239,2018,dez,3648,5423,11,3541,35712,2410,149
240,2019,jan,7796,4191,19,2594,46038,1744,99
241,2019,fev,7707,2192,27,4179,54401,1459,104
242,2019,mar,4476,29309,19,2006,47966,1521,112
243,2019,abr,7624,2718,37,1555,45774,2119,73
244,2019,mai,6555,15773,74,1425,25521,2633,148
245,2019,jun,6598,191593,52,1337,19289,2230,132
246,2019,jul,8230,3884,27,1308,32054,2994,339
247,2019,ago,11421,5892,51,1561,37521,4400,160
248,2019,set,9599,7326,28,1876,27654,5388,156
249,2019,out,10568,8313,45,2219,26153,5859,96
250,2019,nov,7032,25701,80,625,20450,5795,52
251,2019,dez,12871,4416,68,1649,26927,3277,43
252,2020,jan,6703,3579,54,999,20704,2701,354
253,2020,fev,8215,7424,52,897,21184,2319,138
254,2020,mar,9316,16837,93,1045,31633,3111,1278
255,2020,abr,7680,6092,110,1458,36287,3537,91
256,2020,mai,10698,4815,122,2225,38389,3512,59
257,2020,jun,13033,7417,184,2187,39243,2844,78
258,2020,jul,12908,5708,106,2821,43340,2166,424
259,2020,ago,12727,3758,42,3037,33015,1978,483
260,2020,set,12760,1490,71,3588,34200,2295,493
261,2020,out,13640,2295,125,3104,35488,1974,422
262,2020,nov,12498,4632,102,3747,34934,1890,1005
263,2020,dez,13862,4153,151,1459,29640,2253,1598
